epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6511,1.53219,2.16306,1.1024,0.7559,0.89558,0.89709,0.59651,1.20853,1.14601,0.93794,0.000549755,0.000549755,0.000549755
2,47.979,1.10682,0.70198,0.93974,0.95877,0.96278,0.98554,0.724,1.0619,0.631,0.90119,0.000995985,0.000995985,0.000995985
3,62.0142,0.97255,0.58369,0.9077,0.98293,0.98179,0.99363,0.74492,1.01332,0.52485,0.88979,0.00133219,0.00133219,0.00133219
4,75.8233,0.90989,0.5252,0.89166,0.98806,0.99087,0.99406,0.76977,0.89519,0.48402,0.83631,0.0011719,0.0011719,0.0011719
5,89.5597,0.83479,0.48638,0.87505,0.99471,0.99385,0.9947,0.80315,0.79866,0.43866,0.82902,0.00100687,0.00100687,0.00100687
6,103.284,0.75549,0.45524,0.85865,0.99736,0.99779,0.99464,0.8176,0.73705,0.41111,0.80521,0.000841835,0.000841835,0.000841835
7,116.88,0.69357,0.42383,0.84587,0.99779,0.99485,0.9947,0.85392,0.63936,0.38029,0.79092,0.000676802,0.000676802,0.000676802
8,130.476,0.63491,0.40392,0.83291,0.99845,0.99807,0.99472,0.85995,0.60289,0.3666,0.77899,0.000511769,0.000511769,0.000511769
9,144.074,0.597,0.38902,0.82512,0.99823,0.99709,0.99471,0.88111,0.54966,0.35233,0.77201,0.000346736,0.000346736,0.000346736
10,157.656,0.55482,0.37579,0.8171,0.99865,0.99831,0.99475,0.90039,0.48566,0.33618,0.76249,0.000181703,0.000181703,0.000181703
